permitnum,comment_n_rows,comment_max_cycle,comment_n_distinct_cycles,comment_n_review_types,comment_n_subjects,comment_has_structural,comment_has_eca,comment_has_fire,comment_has_design_review,comment_has_geotech,comment_avg_length,comment_repeated_correction_rate,comment_unresolved_rate,comment_partial_rate,comment_resubmit_rate,comment_tfidf_23,comment_tfidf_23_44,comment_tfidf_44,comment_tfidf_area,comment_tfidf_building,comment_tfidf_code,comment_tfidf_drainage,comment_tfidf_floor,comment_tfidf_new,comment_tfidf_note,comment_tfidf_permit,comment_tfidf_plan,comment_tfidf_plans,comment_tfidf_project,comment_tfidf_proposed,comment_tfidf_provide,comment_tfidf_required,comment_tfidf_review,comment_tfidf_seattle,comment_tfidf_shall,comment_tfidf_sheet,comment_tfidf_site,comment_tfidf_smc,comment_tfidf_smc_23,comment_tfidf_src,comment_tfidf_stormwater,comment_tfidf_tree,comment_tfidf_trees,comment_tfidf_update,comment_tfidf_wall
7049337-CN,5,2,2,3,4,0,0,0,0,0,215.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086878673840111,0.17975328409893693,0.24133864138278777,0.0,0.18570663017144426,0.18026274038206316,0.0,0.1749883694299253,0.0,0.17573187063725282,0.0,0.0,0.1784863067156288,0.19828034850035686,0.1749883694299253,0.0,0.3869725810841637,0.18361208618765024,0.0,0.0,0.0,0.26996954417928115,0.0,0.0,0.5273572831130282,0.22232446209082485
7049525-CN,25,2,2,6,13,0,0,0,0,0,335.72,0.0,0.0,0.0,0.28,0.31659805941274094,0.0,0.0,0.256886226748556,0.2078510924414822,0.19737998783605595,0.08605600554458905,0.21128864390579422,0.1727940155809643,0.1893563116571652,0.07576520347432124,0.23137109905722292,0.17012043886119635,0.20694687293227584,0.15734677532841093,0.1741973332795501,0.13356462057515145,0.11970952439883857,0.1488975388850578,0.0,0.17157312860103877,0.21622683996542327,0.2665735559772842,0.2923892567799713,0.11700471168511037,0.0,0.21213365681580862,0.16466801496417763,0.1607330868845888,0.2213194428018315
7049527-CN,8,2,2,4,5,0,0,0,0,0,391.375,0.0,0.0,0.0,0.0,0.2743470816040924,0.32232412343083183,0.3074752529469083,0.0,0.30325625263995504,0.17242691706600172,0.0,0.0,0.08488352908005889,0.17291560897902966,0.16443952118835112,0.2087142829752713,0.0835701582062056,0.16856940798670025,0.14311008561337032,0.2087142829752713,0.21288638581191405,0.09063077453075384,0.13542533358555076,0.0,0.08428377916907072,0.2190000686279639,0.2544505005645448,0.2790921720446222,0.08858299034284677,0.0,0.09740321199146482,0.24001741357626238,0.08634217177309944,0.21326298308729935
7049529-CN,51,2,2,6,22,1,1,0,0,1,381.96078431372547,0.0392156862745098,0.0,0.0,0.19607843137254902,0.22605590935471606,0.2429920698846083,0.2317978789691669,0.12832558554216825,0.048416761775236586,0.12456461569715382,0.2233515154466775,0.2078089910090987,0.12869013846215582,0.14102508054988586,0.118418232971109,0.1856848437875835,0.1831747297060764,0.1541258338283484,0.15122457296032443,0.1856848437875835,0.18696531080106865,0.1683541037788997,0.1856848437875835,0.16102174469317657,0.18770760339863474,0.18080804945017087,0.21286323293412357,0.22421572495852124,0.22296369858439846,0.2899698962628091,0.11876278218764857,0.16314418821719107,0.1309015560618783,0.1739312578301866
7049763-CN,8,1,1,5,7,0,0,0,0,0,204.125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25091347514795176,0.30662917206850887,0.0,0.0,0.2555798119127452,0.1465245492550876,0.0,0.41901841142894847,0.0,0.14284168253684754,0.15030863709482697,0.14223733590901208,0.3044679196161783,0.0,0.2408287442647017,0.0,0.2537739966844402,0.14924702747450724,0.0,0.0,0.26671869390750824,0.0,0.0,0.30284600942881806,0.1535434785698124,0.30597531252555477
7049770-CN,62,2,2,8,31,1,0,0,0,0,336.69354838709677,0.0,0.0,0.0,0.22580645161290322,0.0972612448483213,0.11427001631009526,0.10900581003746564,0.09240657145047193,0.19155388422756814,0.19278732643488655,0.16973196063029058,0.0,0.1685435444638949,0.22196921673750283,0.16340870610192562,0.247893741274984,0.14060958412062863,0.15949065644629648,0.21202319031183053,0.17523946676664198,0.17874242337299692,0.19299516954187074,0.1976901018088111,0.18680085255862483,0.17375362531366823,0.25096086680444063,0.12713703880871416,0.09894346942481527,0.26018882159435364,0.1898678959219636,0.24433242972826097,0.23600671799524808,0.17143980493109987,0.23844537173503522
7049997-CN,5,1,1,3,5,0,0,0,0,0,285.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2700887968764988,0.4104032691239025,0.0,0.17599055016704981,0.16248542820958387,0.2670469921135336,0.0,0.3653593359337258,0.159971352379457,0.15375793650557498,0.0,0.0,0.15616795129749525,0.0,0.32131308050793095,0.0,0.3385846024171559,0.0,0.0,0.0,0.35585538358443575,0.0,0.0,0.0,0.27983927825864646,0.0
7050000-CN,35,3,3,7,13,0,1,0,0,1,427.9142857142857,0.0,0.0,0.0,0.11428571428571428,0.06981005191511994,0.0,0.07823980938792723,0.24593854496023568,0.13703851964755878,0.15363368482712358,0.0,0.07204236101922731,0.19594424130080396,0.19020024145803746,0.1288533707283366,0.24024688975785363,0.2093697562712934,0.17571714090547516,0.18490263832399503,0.20698973042624239,0.21112736024800954,0.26791975291222353,0.1846351056650852,0.17591535692532606,0.2531608657886972,0.15693177190730911,0.18075858115142157,0.0,0.2358576171318032,0.16371749211521297,0.23503623574960525,0.25198892838532216,0.24119367426826094,0.13482410943807113
7050093-CN,18,1,1,2,5,0,0,0,0,0,512.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.15367626616727614,0.15129906802199103,0.32061395662498493,0.0,0.16692206289403544,0.1541128364063861,0.18541927262091656,0.0,0.20466797460385963,0.2138434310173807,0.14583505718618966,0.15345848842579793,0.2914310802265403,0.29725665392071365,0.0,0.2394439535447342,0.2816364301628842,0.0,0.25124414827451325,0.0,0.0,0.3137075909741034,0.0,0.17684332211187026,0.0,0.0,0.35988020480943916
7050095-CN,30,2,2,6,13,1,0,0,0,0,434.73333333333335,0.03333333333333333,0.0,0.0,0.06666666666666667,0.21319160759407688,0.22342308816401843,0.2131304036948783,0.12870971626493383,0.16857243959628215,0.12493748830596839,0.0,0.15896813514407165,0.16049374194201288,0.20286152398344928,0.0,0.21490103890508017,0.15801048272333032,0.09854372375969976,0.12852731912571672,0.19692592726980257,0.1650314161822474,0.20222524171075384,0.12162563520841434,0.11541774310027914,0.22645260100114203,0.1791449157831859,0.19773022899057396,0.2168789566749601,0.16748850744798469,0.0,0.300522151562807,0.2835290403101733,0.18430205279729822,0.26795377090848915
